# virtual-signatures table — generated by scripts/generate_virtual_signature_table.py
# source: Godot Engine v4.7.2.stable.official
# schemaVersion=1
I	AESContext	RefCounted
I	AStar2D	RefCounted
I	AStar3D	RefCounted
I	AStarGrid2D	RefCounted
I	AcceptDialog	Window
I	AccessibilityServer	Object
I	AimModifier3D	BoneConstraint3D
I	AnimatableBody2D	StaticBody2D
I	AnimatableBody3D	StaticBody3D
I	AnimatedSprite2D	Node2D
I	AnimatedSprite3D	SpriteBase3D
I	AnimatedTexture	Texture2D
I	Animation	Resource
I	AnimationLibrary	Resource
I	AnimationMixer	Node
I	AnimationNode	Resource
I	AnimationNodeAdd2	AnimationNodeSync
I	AnimationNodeAdd3	AnimationNodeSync
I	AnimationNodeAnimation	AnimationRootNode
I	AnimationNodeBlend2	AnimationNodeSync
I	AnimationNodeBlend3	AnimationNodeSync
I	AnimationNodeBlendSpace1D	AnimationRootNode
I	AnimationNodeBlendSpace2D	AnimationRootNode
I	AnimationNodeBlendTree	AnimationRootNode
I	AnimationNodeExtension	AnimationNode
I	AnimationNodeOneShot	AnimationNodeSync
I	AnimationNodeOutput	AnimationNode
I	AnimationNodeStateMachine	AnimationRootNode
I	AnimationNodeStateMachinePlayback	Resource
I	AnimationNodeStateMachineTransition	Resource
I	AnimationNodeSub2	AnimationNodeSync
I	AnimationNodeSync	AnimationNode
I	AnimationNodeTimeScale	AnimationNode
I	AnimationNodeTimeSeek	AnimationNode
I	AnimationNodeTransition	AnimationNodeSync
I	AnimationPlayer	AnimationMixer
I	AnimationRootNode	AnimationNode
I	AnimationTree	AnimationMixer
I	Area2D	CollisionObject2D
I	Area3D	CollisionObject3D
I	AreaLight3D	Light3D
I	ArrayMesh	Mesh
I	ArrayOccluder3D	Occluder3D
I	AspectRatioContainer	Container
I	AtlasTexture	Texture2D
I	AudioBusLayout	Resource
I	AudioEffect	Resource
I	AudioEffectAmplify	AudioEffect
I	AudioEffectBandLimitFilter	AudioEffectFilter
I	AudioEffectBandPassFilter	AudioEffectFilter
I	AudioEffectCapture	AudioEffect
I	AudioEffectChorus	AudioEffect
I	AudioEffectCompressor	AudioEffect
I	AudioEffectDelay	AudioEffect
I	AudioEffectDistortion	AudioEffect
I	AudioEffectEQ	AudioEffect
I	AudioEffectEQ10	AudioEffectEQ
I	AudioEffectEQ21	AudioEffectEQ
I	AudioEffectEQ6	AudioEffectEQ
I	AudioEffectFilter	AudioEffect
I	AudioEffectHardLimiter	AudioEffect
I	AudioEffectHighPassFilter	AudioEffectFilter
I	AudioEffectHighShelfFilter	AudioEffectFilter
I	AudioEffectInstance	RefCounted
I	AudioEffectLimiter	AudioEffect
I	AudioEffectLowPassFilter	AudioEffectFilter
I	AudioEffectLowShelfFilter	AudioEffectFilter
I	AudioEffectNotchFilter	AudioEffectFilter
I	AudioEffectPanner	AudioEffect
I	AudioEffectPhaser	AudioEffect
I	AudioEffectPitchShift	AudioEffect
I	AudioEffectRecord	AudioEffect
I	AudioEffectReverb	AudioEffect
I	AudioEffectSpectrumAnalyzer	AudioEffect
I	AudioEffectSpectrumAnalyzerInstance	AudioEffectInstance
I	AudioEffectStereoEnhance	AudioEffect
I	AudioListener2D	Node2D
I	AudioListener3D	Node3D
I	AudioSample	RefCounted
I	AudioSamplePlayback	RefCounted
I	AudioServer	Object
I	AudioStream	Resource
I	AudioStreamGenerator	AudioStream
I	AudioStreamGeneratorPlayback	AudioStreamPlaybackResampled
I	AudioStreamInteractive	AudioStream
I	AudioStreamMP3	AudioStream
I	AudioStreamMicrophone	AudioStream
I	AudioStreamOggVorbis	AudioStream
I	AudioStreamPlayback	RefCounted
I	AudioStreamPlaybackInteractive	AudioStreamPlayback
I	AudioStreamPlaybackOggVorbis	AudioStreamPlaybackResampled
I	AudioStreamPlaybackPlaylist	AudioStreamPlayback
I	AudioStreamPlaybackPolyphonic	AudioStreamPlayback
I	AudioStreamPlaybackResampled	AudioStreamPlayback
I	AudioStreamPlaybackSynchronized	AudioStreamPlayback
I	AudioStreamPlayer	Node
I	AudioStreamPlayer2D	Node2D
I	AudioStreamPlayer3D	Node3D
I	AudioStreamPlaylist	AudioStream
I	AudioStreamPolyphonic	AudioStream
I	AudioStreamRandomizer	AudioStream
I	AudioStreamSynchronized	AudioStream
I	AudioStreamWAV	AudioStream
I	AwaitTweener	Tweener
I	BackBufferCopy	Node2D
I	BaseButton	Control
I	BaseMaterial3D	Material
I	BitMap	Resource
I	BlitMaterial	Material
I	Bone2D	Node2D
I	BoneAttachment3D	Node3D
I	BoneConstraint3D	SkeletonModifier3D
I	BoneMap	Resource
I	BoneTwistDisperser3D	SkeletonModifier3D
I	BoxContainer	Container
I	BoxMesh	PrimitiveMesh
I	BoxOccluder3D	Occluder3D
I	BoxShape3D	Shape3D
I	Button	BaseButton
I	ButtonGroup	Resource
I	CCDIK3D	IterateIK3D
I	CPUParticles2D	Node2D
I	CPUParticles3D	GeometryInstance3D
I	CSGBox3D	CSGPrimitive3D
I	CSGCombiner3D	CSGShape3D
I	CSGCylinder3D	CSGPrimitive3D
I	CSGMesh3D	CSGPrimitive3D
I	CSGPolygon3D	CSGPrimitive3D
I	CSGPrimitive3D	CSGShape3D
I	CSGShape3D	GeometryInstance3D
I	CSGSphere3D	CSGPrimitive3D
I	CSGTorus3D	CSGPrimitive3D
I	CallbackTweener	Tweener
I	Camera2D	Node2D
I	Camera3D	Node3D
I	CameraAttributes	Resource
I	CameraAttributesPhysical	CameraAttributes
I	CameraAttributesPractical	CameraAttributes
I	CameraFeed	RefCounted
I	CameraServer	Object
I	CameraTexture	Texture2D
I	CanvasGroup	Node2D
I	CanvasItem	Node
I	CanvasItemMaterial	Material
I	CanvasLayer	Node
I	CanvasModulate	Node2D
I	CanvasTexture	Texture2D
I	CapsuleMesh	PrimitiveMesh
I	CapsuleShape2D	Shape2D
I	CapsuleShape3D	Shape3D
I	CenterContainer	Container
I	ChainIK3D	IKModifier3D
I	CharFXTransform	RefCounted
I	CharacterBody2D	PhysicsBody2D
I	CharacterBody3D	PhysicsBody3D
I	CheckBox	Button
I	CheckButton	Button
I	CircleShape2D	Shape2D
I	ClassDB	Object
I	CodeEdit	TextEdit
I	CodeHighlighter	SyntaxHighlighter
I	CollisionObject2D	Node2D
I	CollisionObject3D	Node3D
I	CollisionPolygon2D	Node2D
I	CollisionPolygon3D	Node3D
I	CollisionShape2D	Node2D
I	CollisionShape3D	Node3D
I	ColorPalette	Resource
I	ColorPicker	VBoxContainer
I	ColorPickerButton	Button
I	ColorRect	Control
I	Compositor	Resource
I	CompositorEffect	Resource
I	CompressedCubemap	CompressedTextureLayered
I	CompressedCubemapArray	CompressedTextureLayered
I	CompressedTexture2D	Texture2D
I	CompressedTexture2DArray	CompressedTextureLayered
I	CompressedTexture3D	Texture3D
I	CompressedTextureLayered	TextureLayered
I	ConcavePolygonShape2D	Shape2D
I	ConcavePolygonShape3D	Shape3D
I	ConeTwistJoint3D	Joint3D
I	ConfigFile	RefCounted
I	ConfirmationDialog	AcceptDialog
I	Container	Control
I	Control	CanvasItem
I	ConvertTransformModifier3D	BoneConstraint3D
I	ConvexPolygonShape2D	Shape2D
I	ConvexPolygonShape3D	Shape3D
I	CopyTransformModifier3D	BoneConstraint3D
I	Crypto	RefCounted
I	CryptoKey	Resource
I	Cubemap	ImageTextureLayered
I	CubemapArray	ImageTextureLayered
I	Curve	Resource
I	Curve2D	Resource
I	Curve3D	Resource
I	CurveTexture	Texture2D
I	CurveXYZTexture	Texture2D
I	CylinderMesh	PrimitiveMesh
I	CylinderShape3D	Shape3D
I	DPITexture	Texture2D
I	DTLSServer	RefCounted
I	DampedSpringJoint2D	Joint2D
I	Decal	VisualInstance3D
I	DirAccess	RefCounted
I	DirectionalLight2D	Light2D
I	DirectionalLight3D	Light3D
I	DisplayServer	Object
I	DrawableTexture2D	Texture2D
I	ENetConnection	RefCounted
I	ENetMultiplayerPeer	MultiplayerPeer
I	ENetPacketPeer	PacketPeer
I	EditorCommandPalette	ConfirmationDialog
I	EditorContextMenuPlugin	RefCounted
I	EditorDebuggerPlugin	RefCounted
I	EditorDebuggerSession	RefCounted
I	EditorDock	MarginContainer
I	EditorExportPlatform	RefCounted
I	EditorExportPlatformAndroid	EditorExportPlatform
I	EditorExportPlatformAppleEmbedded	EditorExportPlatform
I	EditorExportPlatformExtension	EditorExportPlatform
I	EditorExportPlatformIOS	EditorExportPlatformAppleEmbedded
I	EditorExportPlatformLinuxBSD	EditorExportPlatformPC
I	EditorExportPlatformMacOS	EditorExportPlatform
I	EditorExportPlatformPC	EditorExportPlatform
I	EditorExportPlatformVisionOS	EditorExportPlatformAppleEmbedded
I	EditorExportPlatformWeb	EditorExportPlatform
I	EditorExportPlatformWindows	EditorExportPlatformPC
I	EditorExportPlugin	RefCounted
I	EditorExportPreset	RefCounted
I	EditorFeatureProfile	RefCounted
I	EditorFileDialog	FileDialog
I	EditorFileSystem	Node
I	EditorFileSystemDirectory	Object
I	EditorFileSystemImportFormatSupportQuery	RefCounted
I	EditorImportPlugin	ResourceImporter
I	EditorInspector	ScrollContainer
I	EditorInspectorPlugin	RefCounted
I	EditorInterface	Object
I	EditorNode3DGizmo	Node3DGizmo
I	EditorNode3DGizmoPlugin	Resource
I	EditorPaths	Object
I	EditorPlugin	Node
I	EditorProperty	Container
I	EditorResourceConversionPlugin	RefCounted
I	EditorResourcePicker	HBoxContainer
I	EditorResourcePreview	Node
I	EditorResourcePreviewGenerator	RefCounted
I	EditorResourceTooltipPlugin	RefCounted
I	EditorSceneFormatImporter	RefCounted
I	EditorSceneFormatImporterBlend	EditorSceneFormatImporter
I	EditorSceneFormatImporterFBX2GLTF	EditorSceneFormatImporter
I	EditorSceneFormatImporterGLTF	EditorSceneFormatImporter
I	EditorSceneFormatImporterUFBX	EditorSceneFormatImporter
I	EditorScenePostImport	RefCounted
I	EditorScenePostImportPlugin	RefCounted
I	EditorScript	RefCounted
I	EditorScriptPicker	EditorResourcePicker
I	EditorSelection	Object
I	EditorSettings	Resource
I	EditorSpinSlider	Range
I	EditorSyntaxHighlighter	SyntaxHighlighter
I	EditorToaster	HBoxContainer
I	EditorTranslationParserPlugin	RefCounted
I	EditorUndoRedoManager	Object
I	EditorVCSInterface	Object
I	EncodedObjectAsID	RefCounted
I	Engine	Object
I	EngineDebugger	Object
I	EngineProfiler	RefCounted
I	Environment	Resource
I	Expression	RefCounted
I	ExternalTexture	Texture2D
I	FABRIK3D	IterateIK3D
I	FBXDocument	GLTFDocument
I	FBXState	GLTFState
I	FastNoiseLite	Noise
I	FileAccess	RefCounted
I	FileDialog	ConfirmationDialog
I	FileSystemDock	EditorDock
I	FlowContainer	Container
I	FogMaterial	Material
I	FogVolume	VisualInstance3D
I	FoldableContainer	Container
I	FoldableGroup	Resource
I	Font	Resource
I	FontFile	Font
I	FontVariation	Font
I	FramebufferCacheRD	Object
I	GDExtension	Resource
I	GDExtensionManager	Object
I	GDScript	Script
I	GDScriptLanguageProtocol	JSONRPC
I	GDScriptSyntaxHighlighter	EditorSyntaxHighlighter
I	GDScriptTextDocument	RefCounted
I	GDScriptWorkspace	RefCounted
I	GLTFAccessor	Resource
I	GLTFAnimation	Resource
I	GLTFBufferView	Resource
I	GLTFCamera	Resource
I	GLTFDocument	Resource
I	GLTFDocumentExtension	Resource
I	GLTFDocumentExtensionConvertImporterMesh	GLTFDocumentExtension
I	GLTFLight	Resource
I	GLTFMesh	Resource
I	GLTFNode	Resource
I	GLTFObjectModelProperty	RefCounted
I	GLTFPhysicsBody	Resource
I	GLTFPhysicsShape	Resource
I	GLTFSkeleton	Resource
I	GLTFSkin	Resource
I	GLTFSpecGloss	Resource
I	GLTFState	Resource
I	GLTFTexture	Resource
I	GLTFTextureSampler	Resource
I	GPUParticles2D	Node2D
I	GPUParticles3D	GeometryInstance3D
I	GPUParticlesAttractor3D	VisualInstance3D
I	GPUParticlesAttractorBox3D	GPUParticlesAttractor3D
I	GPUParticlesAttractorSphere3D	GPUParticlesAttractor3D
I	GPUParticlesAttractorVectorField3D	GPUParticlesAttractor3D
I	GPUParticlesCollision3D	VisualInstance3D
I	GPUParticlesCollisionBox3D	GPUParticlesCollision3D
I	GPUParticlesCollisionHeightField3D	GPUParticlesCollision3D
I	GPUParticlesCollisionSDF3D	GPUParticlesCollision3D
I	GPUParticlesCollisionSphere3D	GPUParticlesCollision3D
I	Generic6DOFJoint3D	Joint3D
I	Geometry2D	Object
I	Geometry3D	Object
I	GeometryInstance3D	VisualInstance3D
I	GodotInstance	Object
I	Gradient	Resource
I	GradientTexture1D	Texture2D
I	GradientTexture2D	Texture2D
I	GraphEdit	Control
I	GraphElement	Container
I	GraphFrame	GraphElement
I	GraphNode	GraphElement
I	GridContainer	Container
I	GridMap	Node3D
I	GridMapEditorPlugin	EditorPlugin
I	GrooveJoint2D	Joint2D
I	HBoxContainer	BoxContainer
I	HFlowContainer	FlowContainer
I	HMACContext	RefCounted
I	HScrollBar	ScrollBar
I	HSeparator	Separator
I	HSlider	Slider
I	HSplitContainer	SplitContainer
I	HTTPClient	RefCounted
I	HTTPRequest	Node
I	HashingContext	RefCounted
I	HeightMapShape3D	Shape3D
I	HingeJoint3D	Joint3D
I	IKModifier3D	SkeletonModifier3D
I	IP	Object
I	Image	Resource
I	ImageFormatLoader	RefCounted
I	ImageFormatLoaderExtension	ImageFormatLoader
I	ImageTexture	Texture2D
I	ImageTexture3D	Texture3D
I	ImageTextureLayered	TextureLayered
I	ImmediateMesh	Mesh
I	ImporterMesh	Resource
I	ImporterMeshInstance3D	Node3D
I	Input	Object
I	InputEvent	Resource
I	InputEventAction	InputEvent
I	InputEventFromWindow	InputEvent
I	InputEventGesture	InputEventWithModifiers
I	InputEventJoypadButton	InputEvent
I	InputEventJoypadMotion	InputEvent
I	InputEventKey	InputEventWithModifiers
I	InputEventMIDI	InputEvent
I	InputEventMagnifyGesture	InputEventGesture
I	InputEventMouse	InputEventWithModifiers
I	InputEventMouseButton	InputEventMouse
I	InputEventMouseMotion	InputEventMouse
I	InputEventPanGesture	InputEventGesture
I	InputEventScreenDrag	InputEventFromWindow
I	InputEventScreenTouch	InputEventFromWindow
I	InputEventShortcut	InputEvent
I	InputEventWithModifiers	InputEventFromWindow
I	InputMap	Object
I	InstancePlaceholder	Node
I	IntervalTweener	Tweener
I	ItemList	Control
I	IterateIK3D	ChainIK3D
I	JNISingleton	Object
I	JSON	Resource
I	JSONRPC	Object
I	JacobianIK3D	IterateIK3D
I	JavaClass	RefCounted
I	JavaClassWrapper	Object
I	JavaObject	RefCounted
I	JavaScriptBridge	Object
I	JavaScriptObject	RefCounted
I	Joint2D	Node2D
I	Joint3D	Node3D
I	JointLimitation3D	Resource
I	JointLimitationCone3D	JointLimitation3D
I	KinematicCollision2D	RefCounted
I	KinematicCollision3D	RefCounted
I	Label	Control
I	Label3D	GeometryInstance3D
I	LabelSettings	Resource
I	Light2D	Node2D
I	Light3D	VisualInstance3D
I	LightOccluder2D	Node2D
I	LightmapGI	VisualInstance3D
I	LightmapGIData	Resource
I	LightmapProbe	Node3D
I	Lightmapper	RefCounted
I	LightmapperRD	Lightmapper
I	LimitAngularVelocityModifier3D	SkeletonModifier3D
I	Line2D	Node2D
I	LineEdit	Control
I	LinkButton	BaseButton
I	Logger	RefCounted
I	LookAtModifier3D	SkeletonModifier3D
I	MainLoop	Object
I	MarginContainer	Container
I	Marker2D	Node2D
I	Marker3D	Node3D
I	Marshalls	Object
I	Material	Resource
I	MenuBar	Control
I	MenuButton	Button
I	Mesh	Resource
I	MeshConvexDecompositionSettings	RefCounted
I	MeshDataTool	RefCounted
I	MeshInstance2D	Node2D
I	MeshInstance3D	GeometryInstance3D
I	MeshLibrary	Resource
I	MeshTexture	Texture2D
I	MethodTweener	Tweener
I	MissingNode	Node
I	MissingResource	Resource
I	MobileVRInterface	XRInterface
